OKRES|PS|P_HL_PS
503|10|25
503|20|21
503|5|15
503|21|14
503|23|14
503|13|11
503|22|10
503|16|8
503|14|3
504|19|5112
504|11|3527
504|24|2411
504|4|1744
504|9|1239
504|12|1050
504|3|741
504|17|729
504|15|653
504|2|645
504|6|487
504|25|76
504|1|40
504|7|29
504|18|19
504|20|16
504|10|13
504|21|13
504|5|13
504|13|4
504|23|4
504|14|3
504|16|3
504|22|3
505|11|10091
505|19|8253
505|4|4210
505|24|3911
505|12|3139
505|3|2927
505|6|2572
505|9|1969
505|2|1534
505|15|1426
505|17|1341
505|25|235
505|7|172
505|10|97
505|1|85
505|18|75
505|20|52
505|21|49
505|22|27
505|5|26
505|13|25
505|23|20
505|14|16
505|16|13
506|11|13892
506|19|11115
506|4|4949
506|24|4580
506|12|4151
506|3|3476
506|6|3057
506|9|2148
506|17|1947
506|2|1829
506|15|1700
506|25|428
506|18|150
506|7|147
506|10|100
506|1|91
506|5|82
506|20|75
506|21|55
506|23|35
506|13|33
506|14|20
506|22|18
506|16|16
507|11|9126
507|15|7398
507|19|4363
507|24|3006
507|4|2262
507|9|1699
507|6|1327
507|12|1080
507|3|863
507|17|828
507|2|668
507|7|111
507|1|96
507|25|79
507|10|47
507|18|35
507|21|22
507|20|18
507|5|15
507|14|13
507|13|12
507|16|8
507|22|7
507|23|6
508|11|9111
508|19|5554
508|24|3245
508|4|3075
508|15|2768
508|6|1768
508|3|1748
508|12|1657
508|9|1428
508|17|1079
508|2|968
508|25|160
508|7|116
508|10|116
508|18|87
508|1|83
508|20|30
508|21|20
508|14|14
508|23|13
508|5|12
508|22|11
508|13|8
508|16|6
509|19|2466
509|11|2184
509|24|973
509|4|896
509|12|496
509|3|424
509|9|405
509|6|378
509|2|373
509|17|289
509|15|210
509|25|71
509|1|32
509|7|32
509|18|30
509|10|23
509|5|15
509|21|14
509|20|8
509|22|7
509|23|6
509|13|5
509|14|2
509|16|2
510|11|6283
510|19|2953
510|15|2886
510|24|1988
510|4|1497
510|9|1474
510|12|926
510|3|883
510|6|809
510|17|803
510|2|531
510|7|129
510|25|71
510|1|40
510|10|25
510|18|23
510|5|12
510|20|8
510|21|8
510|14|7
510|13|6
510|16|5
510|23|5
510|22|4
511|11|24212
511|19|18348
511|24|7896
511|4|7459
511|3|7026
511|12|6635
511|6|5116
511|9|4292
511|15|4019
511|17|3685
511|2|3253
511|25|563
511|7|216
511|1|161
511|18|113
511|10|104
511|20|71
511|21|59
511|5|45
511|23|43
511|13|31
511|14|29
511|22|26
511|16|16
601|11|14911
601|19|13248
601|12|6165
601|4|5908
601|3|5376
601|24|4822
601|6|4353
601|2|2143
601|15|2135
601|17|1680
601|9|1578
601|25|379
601|18|199
601|20|163
601|7|155
601|1|140
601|10|129
601|21|43
601|22|38
601|5|34
601|23|33
601|13|20
601|14|18
601|16|7
602|11|1895.0
602|19|1829.0
602|24|1018.0
602|4|901.0
602|12|743.0
602|3|435.0
602|6|411.0
602|15|403.0
602|2|277.0
602|9|277.0
602|17|239.0
602|7|50.0
602|25|39.0
602|18|29.0
602|1|29.0
602|20|17.0
602|10|8.0
602|13|7.0
602|21|6.0
602|14|5.0
602|23|4.0
602|5|3.0
602|22|3.0
602|16|0.0
603|19|6889
603|11|6744
603|24|3766
603|4|3124
603|12|1822
603|3|1619
603|6|1414
603|2|1178
603|15|1123
603|9|1046
603|17|928
603|25|228
603|7|186
603|1|139
603|18|99
603|10|44
603|20|43
603|5|37
603|23|24
603|21|24
603|13|22
603|22|18
603|14|16
603|16|4
604|19|4526
604|11|3367
604|24|2079
604|4|1993
604|15|940
604|12|816
604|9|752
604|3|717
604|6|587
604|17|574
604|2|542
604|25|110
604|7|53
604|18|35
604|10|27
604|20|24
604|1|23
604|21|15
604|23|11
604|5|11
604|14|10
604|13|8
604|22|5
604|16|3
605|11|2548
605|19|2300
605|24|1969
605|4|1114
605|3|619
605|15|533
605|12|502
605|6|415
605|9|406
605|2|398
605|17|393
605|25|67
605|1|65
605|18|63
605|7|36
605|22|31
605|20|25
605|23|17
605|10|15
605|13|12
605|21|9
605|5|8
605|14|8
605|16|3
606|11|7388
606|19|5486
606|24|2778
606|22|2777
606|4|2524
606|18|2254
606|6|1669
606|12|1521
606|3|1370
606|2|832
606|9|787
606|17|720
606|15|463
606|1|141
606|25|122
606|7|101
606|20|44
606|10|36
606|21|27
606|14|24
606|16|14
606|5|12
606|13|11
606|23|11
607|19|2903
607|11|1979
607|24|1702
607|4|1086
607|9|560
607|12|399
607|6|357
607|2|345
607|3|295
607|17|276
607|15|251
607|25|66
